datetime_utc,values
2016-01-01,14.642127409316771
2016-01-02,14.41921144306011
2016-01-03,14.257527226016066
2016-01-04,14.162618917727018
2016-01-05,14.085521170022004
2016-01-06,14.046775491941018
2016-01-07,14.008376328635132
2016-01-08,13.996509747043346
2016-01-09,13.978103474515828
2016-01-10,13.981176571040477
2016-01-11,13.97512291918339
2016-01-12,13.988254405124033
2016-01-13,13.991414396258177
2016-01-14,14.012592173219938
2016-01-15,14.02365493001283
2016-01-16,14.052030202821262
2016-01-17,14.07042434846864
2016-01-18,14.10561696743835
2016-01-19,14.131067357368968
2016-01-20,14.172882989886551
2016-01-21,14.205230260932668
2016-01-22,14.253545286569699
2016-01-23,14.29267244463058
2016-01-24,14.347387161583415
2016-01-25,14.39318976666708
2016-01-26,14.454209423774843
2016-01-27,14.506583535889414
2016-01-28,14.573810702273791
2016-01-29,14.632648066101252
2016-01-30,14.70597962356599
2016-01-31,14.771165806658937
2016-02-01,14.850491830073077
2016-02-02,14.921905569248613
2016-02-03,15.007108981021231
2016-02-04,15.084622026008107
2016-02-05,15.175578570861157
2016-02-06,15.259055735502253
2016-02-07,15.355634090567525
2016-02-08,15.444933393426522
2016-02-09,15.546995338163653
2016-02-10,15.641968184241714
2016-02-11,15.74936879925095
2016-02-12,15.849860182963242
2016-02-13,15.96244806491538
2016-02-14,16.068296786056123
2016-02-15,16.185914273348153
2016-02-16,16.296953162483696
2016-02-17,16.419436569232115
2016-02-18,16.535492720875546
2016-02-19,16.662672578078126
2016-02-20,16.78356759077428
2016-02-21,16.915268893963255
2016-02-22,17.040819116724773
2016-02-23,17.176861579631122
2016-02-24,17.306878364289634
2016-02-25,17.447076678114744
2016-02-26,17.58136663719818
2016-02-27,17.725530735117022
2016-02-28,17.86389600488005
2016-02-29,18.01183133140854
2016-03-01,18.15406983964696
2016-03-02,18.30557762450683
2016-03-03,18.451483362785744
2016-03-04,18.606360898898256
2016-03-05,18.75572419882129
2016-03-06,18.913765124058198
2016-03-07,19.066372937202175
2016-03-08,19.22736751951932
2016-03-09,19.383003700655866
2016-03-10,19.54673912623219
2016-03-11,19.705184719455414
2016-03-12,19.871445383457722
2016-03-13,20.032478910835028
2016-03-14,20.20104671042716
2016-03-15,20.36444446278879
2016-03-16,20.535099092002422
2016-03-17,20.700635421484233
2016-03-18,20.873154667567658
2016-03-19,21.040602281521107
2016-03-20,21.214762322382093
2016-03-21,21.383892578265367
2016-03-22,21.559468280624202
2016-03-23,21.730051481488832
2016-03-24,21.9068166993584
2016-03-25,22.078622389546688
2016-03-26,22.256350262657442
2016-03-27,22.429147523327323
2016-03-28,22.60761077511671
2016-03-29,22.78116851921277
2016-03-30,22.960139754000767
2016-03-31,23.134227020292347
2016-04-01,23.313479019267234
2016-04-02,23.48786526507751
2016-04-03,23.667171280719177
2016-04-04,23.84162667297235
2016-04-05,24.02076072154387
2016-04-06,24.19505642576149
2016-04-07,24.3737935775037
2016-04-08,24.547702044385336
2016-04-09,24.725818711053567
2016-04-10,24.8991139602817
2016-04-11,25.07638817966873
2016-04-12,25.248846080583018
2016-04-13,25.42505779767755
2016-04-14,25.59645634646895
2016-04-15,25.771387690904756
2016-04-16,25.94150728398628
2016-04-17,26.1149428434432
2016-04-18,26.283566546660193
2016-04-19,26.45529363588489
2016-04-20,26.62220744923479
2016-04-21,26.792016374356006
2016-04-22,26.957009491894556
2016-04-23,27.124693809715094
2016-04-24,27.28755887433366
2016-04-25,27.452915646288883
2016-04-26,27.61344899905551
2016-04-27,27.776279039536565
2016-04-28,27.93428096330172
2016-04-29,28.094389082049776
2016-04-30,28.24966403902626
2016-05-01,28.406859277313163
2016-05-02,28.55921614034889
2016-05-03,28.713312000668612
2016-05-04,28.862564277940155
2016-05-05,29.0133789469449
2016-05-06,29.159344999809374
2016-05-07,29.30670156423407
2016-05-08,29.449204817986843
2016-05-09,29.592931473315534
2016-05-10,29.731800620611462
2016-05-11,29.871730872249774
2016-05-12,30.00680006895622
2016-05-13,30.142772925684323
2016-05-14,30.273881978944733
2016-05-15,30.405742138436292
2016-05-16,30.532736686734427
2016-05-17,30.660334712938013
2016-05-18,30.78306639796374
2016-05-19,30.906258890154408
2016-05-20,31.024585520283697
2016-05-21,31.14323527360391
2016-05-22,31.257020978816957
2016-05-23,31.370997136137785
2016-05-24,31.480112514211317
2016-05-25,31.58929070915661
2016-05-26,31.693612962977983
2016-05-27,31.79787545396611
2016-05-28,31.897288519829107
2016-05-29,31.996524314999167
2016-05-30,32.09091898175364
2016-05-31,32.185023954655115
2016-06-01,32.27429797359473
2016-06-02,32.36317496953197
2016-06-03,32.447233154916916
2016-06-04,32.5307920878523
2016-06-05,32.60954640797623
2016-06-06,32.687704347908266
2016-06-07,32.761074006631304
2016-06-08,32.833755257376524
2016-06-09,32.90166676605868
2016-06-10,32.968802933378896
2016-06-11,33.031190173161136
2016-06-12,33.09272022319008
2016-06-13,33.14952449758258
2016-06-14,33.20539480551864
2016-06-15,33.25656488326872
2016-06-16,33.30672927231315
2016-06-17,33.352221420537724
2016-06-18,33.39664119107027
2016-06-19,33.43641919865053
2016-06-20,33.47506314764689
2016-06-21,33.50909833889518
2016-06-22,33.54194276960326
2016-06-23,33.57021400822484
2016-06-24,33.59724273012935
2016-06-25,33.61973641351398
2016-06-26,33.64094073263088
2016-06-27,33.65765077652143
2016-06-28,33.67302947607632
2016-06-29,33.683957289673955
2016-06-30,33.693516601230364
2016-07-01,33.69867105280774
2016-07-02,33.70242461792339
2016-07-03,33.701821991029234
2016-07-04,33.69979081353008
