datetime_utc,values
2016-01-01,14.722866376550702
2016-01-02,14.591729682605553
2016-01-03,14.449661697453248
2016-01-04,14.407002235481956
2016-01-05,14.326858175202544
2016-01-06,14.328331672739235
2016-01-07,14.280296301355014
2016-01-08,14.305704908769444
2016-01-09,14.276082977979648
2016-01-10,14.316133869869304
2016-01-11,14.298612947640057
2016-01-12,14.349010982837587
2016-01-13,14.34066091081269
2016-01-14,14.399399125304969
2016-01-15,14.39883691145357
2016-01-16,14.464953642231704
2016-01-17,14.471501704111763
2016-01-18,14.544510511946113
2016-01-19,14.557810609392185
2016-01-20,14.637438842838149
2016-01-21,14.657275056173205
2016-01-22,14.743344004939663
2016-01-23,14.769561614485806
2016-01-24,14.861931619559826
2016-01-25,14.894399983141533
2016-01-26,14.992945349504264
2016-01-27,15.031540967962751
2016-01-28,15.136138553323672
2016-01-29,15.180737401436977
2016-01-30,15.291261483024194
2016-01-31,15.341735595108268
2016-02-01,15.45805562066365
2016-02-02,15.514271632109486
2016-02-03,15.636251298057191
2016-02-04,15.698069888133439
2016-02-05,15.825566830498836
2016-02-06,15.892842582445164
2016-02-07,16.02570835263064
2016-02-08,16.098289808860912
2016-02-09,16.236369983695592
2016-02-10,16.314099794019985
2016-02-11,16.457234150835056
2016-02-12,16.539949266696063
2016-02-13,16.687971991485
2016-02-14,16.775503884468687
2016-02-15,16.928243798302677
2016-02-16,17.020418692774033
2016-02-17,17.177699489489296
2016-02-18,17.274338604513083
2016-02-19,17.435979096283372
2016-02-20,17.53689889442641
2016-02-21,17.702713263481407
2016-02-22,17.807725705206536
2016-02-23,17.977523760710223
2016-02-24,18.086436563581223
2016-02-25,18.260024003027908
2016-02-26,18.372640905176254
2016-02-27,18.54981957981776
2016-02-28,18.665940607226673
2016-02-29,18.846508791114132
2016-03-01,18.965930528321923
2016-03-02,19.14968319057641
2016-03-03,19.27219905442137
2016-03-04,19.458928134360747
2016-03-05,19.584328650398106
2016-03-06,19.773823335152585
2016-03-07,19.901896416377344
2016-03-08,20.093943420628282
2016-03-09,20.224474648138703
2016-03-10,20.41885849561559
2016-03-11,20.551631400852482
2016-03-12,20.748134707223354
2016-03-13,20.882931055420546
2016-03-14,21.081334812211498
2016-03-15,21.217934886693396
2016-03-16,21.418018745873315
2016-03-17,21.55620163283612
2016-03-18,21.757744191703875
2016-03-19,21.897288065118403
2016-03-20,22.100067151131118
2016-03-21,22.240749557406644
2016-03-22,22.44454251258956
2016-03-23,22.586140654640356
2016-03-24,22.790724619221002
2016-03-25,22.933015639579526
2016-03-26,23.13816783449172
2016-03-27,23.2809290971156
2016-03-28,23.486427105021985
2016-03-29,23.62943647544512
2016-03-30,23.835058519930396
2016-03-31,23.97809464341243
2016-04-01,24.18361986600362
2016-04-02,24.326462443336133
2016-04-03,24.531671178010495
2016-04-04,24.674101238643008
2016-04-05,24.878775283489134
2016-04-06,25.020575455642987
2016-04-07,25.224498341345825
2016-04-08,25.365453118789425
2016-04-09,25.568410373615595
2016-04-10,25.70830637878038
2016-04-11,25.91008578974614
2016-04-12,26.04871203286871
2016-04-13,26.249103902779268
2016-04-14,26.386252036761764
2016-04-15,26.585049436817446
2016-04-16,26.72051400750514
2016-04-17,26.917513025176977
2016-04-18,27.051091716759327
2016-04-19,27.246091698644005
2016-04-20,27.377585573892958
2016-04-21,27.570389363264912
2016-04-22,27.699603098332215
2016-04-23,27.890017267118658
2016-04-24,28.016759380622158
2016-04-25,28.204594455535275
2016-04-26,28.32867753167272
2016-04-27,28.513748214241875
2016-04-28,28.634989119679496
2016-04-29,28.81711449993532
2016-04-30,28.93533459422768
2016-05-01,29.11433835779913
2016-05-02,29.229363697106017
2016-05-03,29.405074325500916
2016-05-04,29.516735859376634
2016-05-05,29.688986823226045
2016-05-06,29.7971205842664
2016-05-07,29.965750529323042
2016-05-08,30.07019781546529
2016-05-09,30.235050741156424
2016-05-10,30.335658290437813
2016-05-11,30.496583720783455
2016-05-12,30.593203878374442
2016-05-13,30.750057025092236
2016-05-14,30.84254790243104
2016-05-15,30.99518982005992
2016-05-16,31.083415445926075
2016-05-17,31.231713178811795
2016-05-18,31.31554364218712
2016-05-19,31.459370363183616
2016-05-20,31.538681947760317
2016-05-21,31.677917088512228
2016-05-22,31.75259239871896
2016-05-23,31.887121771401826
2016-05-24,31.95704984983001
2016-05-25,32.086765760236084
2016-05-26,32.15184219636005
2016-05-27,32.27664354822909
2016-05-28,32.33677057832529
2016-05-29,32.456562968831385
2016-05-30,32.511649567013436
2016-05-31,32.62634537333033
2016-06-01,32.67630733362823
2016-06-02,32.785825790507474
2016-06-03,32.830585799931086
2016-06-04,32.934853068238795
2016-06-05,32.97434077077732
2016-06-06,33.073289996947196
2016-06-07,33.107442048468045
2016-06-08,33.20101341483988
2016-06-09,33.22977352886204
2016-06-10,33.31791429488662
2016-06-11,33.341233279215245
2016-06-12,33.42389781351823
2016-06-13,33.441733597738846
2016-06-14,33.51888340104776
2016-06-15,33.53120105488995
2016-06-16,33.602804773839935
2016-06-17,33.60957651643191
2016-06-18,33.6756099482773
2016-06-19,33.67681514832413
2016-06-20,33.73726123659439
2016-06-21,33.73288640352408
2016-06-22,33.78773522467377
2016-06-23,33.77777399080628
2016-06-24,33.82702273191984
2016-06-25,33.81147582572565
2016-06-26,33.85512875334895
2016-06-27,33.83400396387425
2016-06-28,33.87207238405554
2016-06-29,33.8453845166023
2016-06-30,33.877886726236
2016-07-01,33.845657549395455
2016-07-02,33.872618778972665
2016-07-03,33.834876963121445
2016-07-04,33.85632931100154
